State Name,Annual Domestic and Industry Draft,Annual Irrigation Draft,Annual Groundwater Draft(Total),Monsoon Recharge Rainfall,Monsoon Recharge Other,Non-Monsoon Recharge Rainfall,Non-Monsoon Recharge Other,Annual Replenishable Groundwater Resources (Total),Natural Discharge During Non-Monsoon Season,Net Groundwater Availability,Projected Demand for Domestic & Industrial Use Upto 2025,Groundwater Availability for Futur Irrigation Use,Stage of Goundwater Development (%)
Andhra Pradesh,1.03,6.6,7.63,8.93,8.54,0.85,5.83,24.15,1.21,22.94,1.31,15.91,33.26
Arunachal Pradesh,0.01,0.003,0.01,2.01,0.07,1.11,0.002,3.19,0.27,2.92,0.01,2.9,0.36
Assam,0.61,1.97,2.58,17.92,0.96,7.64,0.53,27.05,5.09,21.97,0.66,19.33,11.73
Bihar,2.69,10.33,13.02,21.02,3.32,1.29,2.42,28.05,2.6,25.46,2.29,12.23,51.14
Chandigarh,0.032,0.01,0.05,0.01,0.02,0.005,0.03,0.06,0.01,0.06,0.03,0.01,80.6
Delhi,0.22,0.07,0.29,0.05,0.13,0.004,0.13,0.32,0.03,0.29,0.19,0.02,101.4
Karnataka,1.03,9.6,10.63,7.47,4.68,2.23,3.77,18.16,1.76,16.4,1.16,7.08,64.85
Kerala,1.48,1.16,2.65,4.2,0.13,0.46,0.86,5.65,0.53,5.12,2.25,2.13,51.68
Lakshadweep,0.003,0,0.003,0.011,0,0.002,0,0.01,0.01,0.005,0.005,0.002,58.47
Ladakh,0.02,0.001,0.02,0.01,0.05,0.02,0.04,0.12,0.01,0.11,0.02,0.09,17.9
Dadara & Nagar Havelli,0.03,0.01,0.03,0.04,0.01,0.003,0.02,0.07,0.005,0.07,0.02,0.03,45.99
Chhattisgarh,0.81,4.53,5.35,8.33,1.38,1.11,1.84,12.65,1.11,11.55,0.84,6.25,46.34
Jammu & Kashmir,0.69,0.2,0.89,0.8,2.04,0.95,0.88,4.68,0.46,4.22,0.57,3.32,21.03
Manipur,0.02,0.003,0.02,0.4,0.001,0.11,0.002,0.51,0.05,0.46,0.02,0.44,5.12
Madhya Pradesh,1.64,17.33,18.97,27.75,1.6,0.12,6.69,36.16,2.78,33.38,1.84,15.25,56.82
Mizoram,0.01,0,0.01,0.19,0,0.03,0,0.22,0.02,0.2,0.01,0.19,3.81
Nagaland,0.02,0.002,0.02,1.08,0.76,0.27,0.06,2.17,0.22,1.95,0.02,1.93,1.04
Odisha,1.36,5.5,6.86,10.26,2.71,1.51,2.6,17.08,1.37,15.71,1.46,8.74,43.65
Punjab,1.05,32.8,33.85,5.01,10.42,0.95,6.41,22.8,2.2,20.59,1.08,1.61,164.42
Puducherry,0.06,0.1,0.15,0.06,0.1,0.01,0.05,0.22,0.02,0.2,0.05,0.05,74.27
Rajasthan,2.27,14.37,16.63,8.8,0.58,0.29,2.57,12.24,1.17,11.07,2.17,0.99,150.22
Goa,0.054,0.02,0.08,0.34,0.02,0.003,0.04,0.4,0.08,0.32,0.05,0.24,23.48
Gujarat,0.65,12.65,13.3,19.59,2.89,0,4.32,26.81,1.9,24.91,0.78,12.52,53.39
Himachal Pradesh,0.15,0.2,0.36,0.66,0.13,0.13,0.14,1.07,0.1,0.97,0.1,0.62,36.83
Jharkhand,0.71,0.93,1.64,4.91,0.43,0.47,0.35,6.15,0.51,5.64,0.52,4.02,29.13
Meghalaya,0.05,0.03,0.08,1.66,0.01,0.36,0.01,2.04,0.22,1.82,0.06,1.73,4.22
Sikkim,0.012,0,0.01,0.96,0,0,0,0.96,0.1,0.86,0.01,0.85,0.86
Tripura,0.08,0.02,0.1,0.85,0.06,0.34,0.22,1.47,0.22,1.24,0.09,1.14,7.94
Uttarakhand,0.24,0.63,0.87,1.29,0.31,0.1,0.32,2.02,0.17,1.85,0.16,0.98,46.8
Uttar Pradesh,4.74,41.29,46.03,37.75,13.16,1.3,19.99,72.2,5.32,66.88,5.38,21.53,68.83
West Bengal,1,10.84,11.84,18.71,1.51,5.26,3.85,29.33,2.77,26.56,1.53,14.19,44.6
Andaman & Nicobar Island,0.011,0,0.01,0.32,0,0,0,0.32,0.03,0.28,0.01,0.28,2.6
Daman & Diu,0.03,0.003,0.03,0.03,0.001,0,0.001,0.03,0.001,0.03,0.02,0,113.38
Haryana,1.15,10.47,11.61,3.24,2.81,0.58,2.9,9.53,0.9,8.63,0.57,0.97,134.56
Tamil Nadu,1.16,13.52,14.67,6.83,9.04,1.26,2.45,19.59,1.9,17.69,1.52,5.65,82.93
Maharashtra,1.343,15.29,16.63,20.66,2.38,0.53,8.45,32.01,1.76,30.25,1.34,14.2,54.99
Telangana,0.87,7.13,8.01,7.5,3.29,1.1,4.75,16.63,1.6,15.03,0.74,7.14,53.32
